,no,yes
371,burgundy blackcurrant,black currant
372,green orange,orange
373,tuberose from italy,tuberose
374,cinnamon bark,cinnamon
375,angelic roots,angelica
376,pimento (jamaican pepper),pimento
377,vetiver from haiti,vetiver
378,vanilla from comoros (africa),vanilla
379,white bergamot,bergamot
380,green apple,apple
381,fruity accord,fruity notes
382,floral accord,floral notes
383,absolute jasmine,jasmine
